feature,radius_nm,recall_target,precision,candidates_kept
composite_score (baseline),,0.99,0.003378997181435199,365789
composite_score (baseline),,0.95,0.003411300436048184,347668
composite_score (baseline),,0.9,0.0033627926736595204,334246
composite_score (baseline),,0.85,0.003313326379823997,320222
density_mid_500,500.0,0.99,0.0034790147295178635,355273
density_mid_500,500.0,0.95,0.0037505534121813925,316220
density_mid_500,500.0,0.9,0.004075594297068763,275788
density_mid_500,500.0,0.85,0.004573315287200752,231998
density_max_500,500.0,0.99,0.00356992253614691,346226
density_max_500,500.0,0.95,0.004166344647336139,284662
density_max_500,500.0,0.9,0.004309221119784079,260836
density_max_500,500.0,0.85,0.004933851054430468,215045
density_mid_1000,1000.0,0.99,0.0034402041855817593,359281
density_mid_1000,1000.0,0.95,0.003974197872162185,298425
density_mid_1000,1000.0,0.9,0.00427252961121501,263076
density_mid_1000,1000.0,0.85,0.004574439189276584,231941
density_max_1000,1000.0,0.99,0.0035039376775356772,352746
density_max_1000,1000.0,0.95,0.004160133573260093,285087
density_max_1000,1000.0,0.9,0.00443556979708452,253406
density_max_1000,1000.0,0.85,0.004754521500654251,223156
density_mid_1500,1500.0,0.99,0.003559098016292376,347279
density_mid_1500,1500.0,0.95,0.003900982152842191,304026
density_mid_1500,1500.0,0.9,0.004283944735588375,262375
density_mid_1500,1500.0,0.85,0.004821434251723401,220059
density_max_1500,1500.0,0.99,0.00353016779721528,350125
density_max_1500,1500.0,0.95,0.003933038852852614,301548
density_max_1500,1500.0,0.9,0.004461184912939421,251951
density_max_1500,1500.0,0.85,0.00494742486768786,214455
density_mid_2000,2000.0,0.99,0.003500692491354479,353073
density_mid_2000,2000.0,0.95,0.004023762591221684,294749
density_mid_2000,2000.0,0.9,0.004271717732189141,263126
density_mid_2000,2000.0,0.85,0.004527609456345481,234340
density_max_2000,2000.0,0.99,0.003574031021201291,345828
density_max_2000,2000.0,0.95,0.004093169652563753,289751
density_max_2000,2000.0,0.9,0.004353602373565422,258177
density_max_2000,2000.0,0.85,0.004722208622815255,224683
density_mid_3000,3000.0,0.99,0.00356366446196163,346834
density_mid_3000,3000.0,0.95,0.0038830755529944863,305428
density_mid_3000,3000.0,0.9,0.004154208353506869,270569
density_mid_3000,3000.0,0.85,0.004416839774037641,240217
density_max_3000,3000.0,0.99,0.003537624467996806,349387
density_max_3000,3000.0,0.95,0.0038757789956307617,306003
density_max_3000,3000.0,0.9,0.004158481044503886,270291
density_max_3000,3000.0,0.85,0.004401959930132889,241029
composite + 0.05 * log(1+density_mid_500),500.0,0.99,0.0033714025416447316,366613
composite + 0.05 * log(1+density_mid_500),500.0,0.95,0.0034059221692220656,348217
composite + 0.05 * log(1+density_mid_500),500.0,0.9,0.0033856033542774867,331994
composite + 0.1 * log(1+density_mid_500),500.0,0.99,0.0033835667063606125,365295
composite + 0.1 * log(1+density_mid_500),500.0,0.95,0.0034298471896075052,345788
composite + 0.1 * log(1+density_mid_500),500.0,0.9,0.0034197187555144487,328682
composite + 0.2 * log(1+density_mid_500),500.0,0.99,0.003424287507168563,360951
composite + 0.2 * log(1+density_mid_500),500.0,0.95,0.003478546518960425,340947
composite + 0.2 * log(1+density_mid_500),500.0,0.9,0.0034767976342928554,323286
composite + 0.05 * log(1+density_mid_1000),1000.0,0.99,0.0033923797708771334,364346
composite + 0.05 * log(1+density_mid_1000),1000.0,0.95,0.0034344060301914987,345329
composite + 0.05 * log(1+density_mid_1000),1000.0,0.9,0.0034426149171812213,326496
composite + 0.1 * log(1+density_mid_1000),1000.0,0.99,0.003408855854489292,362585
composite + 0.1 * log(1+density_mid_1000),1000.0,0.95,0.0034941033323611123,339429
composite + 0.1 * log(1+density_mid_1000),1000.0,0.9,0.0035670309862015563,315108
composite + 0.2 * log(1+density_mid_1000),1000.0,0.99,0.0034195884873854257,361447
composite + 0.2 * log(1+density_mid_1000),1000.0,0.95,0.0035649016495936134,332688
composite + 0.2 * log(1+density_mid_1000),1000.0,0.9,0.0037550905865491586,299327
composite + 0.05 * log(1+density_mid_1500),1500.0,0.99,0.003390527918363988,364545
composite + 0.05 * log(1+density_mid_1500),1500.0,0.95,0.003433570826807329,345413
composite + 0.05 * log(1+density_mid_1500),1500.0,0.9,0.0034270382340386607,327980
composite + 0.1 * log(1+density_mid_1500),1500.0,0.99,0.0034203739166048636,361364
composite + 0.1 * log(1+density_mid_1500),1500.0,0.95,0.003498071046825781,339044
composite + 0.1 * log(1+density_mid_1500),1500.0,0.9,0.0035005870646456277,321089
composite + 0.2 * log(1+density_mid_1500),1500.0,0.99,0.0034368465542554613,359632
composite + 0.2 * log(1+density_mid_1500),1500.0,0.95,0.0035604068350204737,333108
composite + 0.2 * log(1+density_mid_1500),1500.0,0.9,0.0036384471211272714,308923
composite + 0.05 * log(1+density_mid_2000),2000.0,0.99,0.003384622967788576,365181
composite + 0.05 * log(1+density_mid_2000),2000.0,0.95,0.0034255675581999884,346220
composite + 0.05 * log(1+density_mid_2000),2000.0,0.9,0.0034160188184951283,329038
composite + 0.1 * log(1+density_mid_2000),2000.0,0.99,0.003402577810567812,363254
composite + 0.1 * log(1+density_mid_2000),2000.0,0.95,0.0034444002358223432,344327
composite + 0.1 * log(1+density_mid_2000),2000.0,0.9,0.003472093511756929,323724
composite + 0.2 * log(1+density_mid_2000),2000.0,0.99,0.003452060762972459,358047
composite + 0.2 * log(1+density_mid_2000),2000.0,0.95,0.003515042663608046,337407
composite + 0.2 * log(1+density_mid_2000),2000.0,0.9,0.003575893893938478,314327
composite + 0.05 * log(1+density_mid_3000),3000.0,0.99,0.0033849844717945346,365142
composite + 0.05 * log(1+density_mid_3000),3000.0,0.95,0.003400658339928202,348756
composite + 0.05 * log(1+density_mid_3000),3000.0,0.9,0.0033924906434866595,331320
composite + 0.1 * log(1+density_mid_3000),3000.0,0.99,0.003398937969382059,363643
composite + 0.1 * log(1+density_mid_3000),3000.0,0.95,0.0034217032927402764,346611
composite + 0.1 * log(1+density_mid_3000),3000.0,0.9,0.003426369633341869,328044
composite + 0.2 * log(1+density_mid_3000),3000.0,0.99,0.0034336767010034338,359964
composite + 0.2 * log(1+density_mid_3000),3000.0,0.95,0.0034601874219561436,342756
composite + 0.2 * log(1+density_mid_3000),3000.0,0.9,0.0035090129184123277,320318
