gap_bin_nm,candidates,accepted,tp,fp,fn,tn,precision,recall
"[0, 100)",3675.0,3661.0,25.0,3636.0,1.0,13.0,0.0068287353182190655,0.9615384615384616
"[100, 200)",3352.0,3327.0,44.0,3283.0,0.0,25.0,0.013225127742711151,1.0
"[200, 300)",6261.0,6215.0,125.0,6090.0,1.0,45.0,0.02011263073209976,0.9920634920634921
"[300, 500)",20418.0,20339.0,594.0,19745.0,1.0,78.0,0.029204975662520283,0.9983193277310924
"[500, 750)",1720.0,1674.0,11.0,1663.0,0.0,46.0,0.006571087216248507,1.0
"[750, 1000)",8670.0,8056.0,35.0,8021.0,2.0,612.0,0.004344587884806355,0.9459459459459459
"[1000, 1500)",52062.0,52053.0,117.0,51936.0,0.0,9.0,0.0022477090657598985,1.0
"[1500, 2000)",222788.0,222775.0,203.0,222572.0,0.0,13.0,0.0009112333071484682,1.0
"[2000, 3000)",1902.0,1888.0,32.0,1856.0,0.0,14.0,0.01694915254237288,1.0
"[3000, 20000)",48720.0,48193.0,62.0,48131.0,0.0,527.0,0.0012864938891540265,1.0
